public_gene_name,p-value
Y105E8A.19,0.221380771
Y67A10A.9,0.221380771
prp-8,0.22166098
dyc-1,0.221888016
lgx-1,0.222814942
C32D5.11,0.224690807
oga-1,0.225078255
C17B7.5,0.225884619
acs-17,0.228798522
unc-104,0.22929357
mon-2,0.230560189
agr-1,0.231467499
F35A5.1,0.231843123
crn-3,0.234173191
B0416.1,0.236028045
B0334.3,0.236479146
R11A8.7,0.237019973
cam-1,0.237148224
gei-7,0.237324947
scpl-1,0.237753517
apd-3,0.240542063
Y39B6A.23,0.244046179
unc-22,0.244084892
tag-168,0.25173002
vit-2,0.255225568
R06A4.2,0.255665855
pat-12,0.255854507
inft-2,0.256841045
Y53F4B.13,0.256879288
C27H5.2,0.257218927
Y70C5C.1,0.258128011
emb-9,0.258357107
ptr-21,0.260221591
H17B01.4,0.260677471
iars-1,0.260937606
lin-13,0.261030292
Y113G7C.1,0.261281826
ugt-32,0.263003568
dis-3,0.263314915
Y32H12A.8,0.265464147
C39D10.7,0.266793397
kin-1,0.27004733400000003
ego-2,0.270610788
B0336.3,0.272376463
F48E3.3,0.272717272
Y47A7.1,0.273849154
mys-1,0.273891018
fig-1,0.274115507
ced-5,0.2748159
him-1,0.277552785
T21D12.11,0.277674743
R08F11.1,0.278476217
gcn-1,0.278632818
lact-7,0.279110834
mrp-5,0.279774425
F23A7.5,0.279961577
C34F6.10,0.280367727
sea-2,0.280375692
C47D12.2,0.280609794
pqn-62,0.282486769
taf-1,0.283256394
pqn-22,0.285386278
K06A9.1,0.285480959
myo-3,0.286749215
crb-1,0.288994051
cpsf-1,0.289213777
C35E7.5,0.289991943
F55A3.3,0.290726147
sin-3,0.29150991
T23F1.5,0.293900146
T01C4.1,0.294353209
catp-2,0.294362631
M02G9.1,0.300658458
mlt-11,0.303101544
ced-1,0.308416204
gcy-20,0.312208427
tps-2,0.313064846
frl-1,0.313242075
F20D12.2,0.314424034
frm-9,0.314450815
Y22D7AR.12,0.314767784
let-19,0.317439549
Y48E1C.1,0.318222032
nsy-1,0.3189256
daf-5,0.319380438
chc-1,0.319726123
mrp-6,0.321115195
bpl-1,0.322722968
capg-2,0.324141631
pgp-8,0.325215677
T04G9.1,0.32610508
Y95B8A.8,0.326519129
R02D3.4,0.327984253
F10G7.9,0.331316725
dpyd-1,0.331522142
lrp-2,0.331778565
ril-2,0.33384484
plx-1,0.334371504
msh-6,0.3366984
hum-7,0.337031868
C14H10.2,0.337378167
pqn-65,0.339146997
nab-1,0.33958834
Y69H2.11,0.339746615
C18H2.5,0.339948228
clp-4,0.340157241
mrck-1,0.34059326
C12D8.1,0.341938159
dyn-1,0.343171994
slt-1,0.343993334
xol-1,0.344441495
gcy-23,0.345359765
ubq-1,0.346459561
pgp-4,0.34660188199999997
cyp-34A1,0.346742734
abt-5,0.346836284
cyk-1,0.347712129
T28C6.7,0.348659044
Y54G11A.4,0.349183902
pqn-55,0.351502783
oxi-1,0.352418808
T27A3.2,0.353004463
C05C10.2,0.357117199
ZK154.5,0.357555193
nid-1,0.358544528
myo-2,0.358598496
ekl-6,0.359492768
pme-5,0.359711671
toe-4,0.361982638
egl-19,0.363221744
F56C9.10,0.363718444
clh-1,0.363855006
syg-2,0.364279677
adt-1,0.364858154
K09C4.10,0.367244805
rga-4,0.368021772
unc-26,0.368087199
bus-8,0.368176938
clh-4,0.369643748
C01H6.2,0.370211426
gcy-5,0.373604026
rrf-2,0.373902701
hipr-1,0.374204934
F13D2.1,0.375369403
grd-1,0.37557649
cng-1,0.376086324
cutl-18,0.376343333
bet-2,0.376905002
atl-1,0.37881064
T13G4.3,0.379258123
Y71H2B.5,0.381666089
xpo-1,0.381860937
acdh-11,0.382438031
col-87,0.38571512
fln-2,0.386743128
Y69H2.2,0.389086102
T01H10.8,0.389178873
pxn-1,0.389443253
Y69H2.10,0.393514137
C32E8.11,0.394961695
gcy-3,0.397525066
F52D2.6,0.397825566
cdh-10,0.398046987
epg-5,0.399785062
rgs-7,0.400382832
trr-1,0.401403414
hum-2,0.403708236
F59F5.7,0.403915256
rha-1,0.404526645
eor-2,0.40474181
Y38H6C.14,0.405874405
sdc-2,0.40857685
F40H6.5,0.409342297
plx-2,0.409588161
Y43C5A.2,0.41018482
T22E5.3,0.41018482
T24C12.3,0.412117676
F54D11.2,0.416058003
ZK856.12,0.416072094
Y64G10A.7,0.417556083
rgr-1,0.420596062
unc-10,0.420979975
F47C12.1,0.421501599
vab-10,0.421713486
ubc-17,0.42171943
C44B7.11,0.421753894
vit-6,0.42265916
tag-180,0.424351843
wnk-1,0.424733256
R11G1.1,0.424733256
nrx-1,0.425884718
iffb-1,0.426529
F28E10.1,0.428062497
daf-2,0.428231505
gld-2,0.428231505
tag-97,0.428412979
nmy-1,0.429134672
lin-45,0.42925436300000003
F55F3.4,0.431145265
F28H6.4,0.431436709
T23E7.2,0.431553345
nrde-3,0.431650855
Y67D2.2,0.43204509
gei-15,0.432672252
T04F3.1,0.435584908
Y113G7B.12,0.43582518
tbc-17,0.437033687
F54E2.4,0.437583373
C09G5.8,0.439484067
nurf-1,0.439650664
T08G11.1,0.439749712
cutl-25,0.441482878
unc-54,0.443991196
pyk-2,0.444180183
Y48E1B.14,0.444299529
pll-1,0.444425429
F35F10.10,0.444576029
T28F2.7,0.444576029
Y56A3A.6,0.444576029
lsy-12,0.444808522
igcm-3,0.445197526
F29G6.3,0.445390775
E01A2.2,0.445529095
Y55F3AM.14,0.445912476
ten-1,0.446875192
F42G9.6,0.449462635
npp-10,0.450459414
Y67D8C.9,0.450670542
cogc-1,0.451097562
R193.2,0.452825903
mltn-2,0.453252872
B0546.3,0.45336357
T20B6.2,0.453464983
abt-4,0.454451456
agl-1,0.455061483
C03H12.1,0.455743489
bar-1,0.45718676
eat-18,0.459733681
lev-10,0.459733681
F36G9.13,0.459745051
ppfr-1,0.461083745
lrp-1,0.462444762
lgc-33,0.463810746
K02B12.7,0.464562424
mel-28,0.464991012
C49C3.4,0.465046994
ifp-1,0.466210352
prmt-3,0.466865979
gpa-6,0.46746783
W05G11.4,0.468814572
elpc-1,0.469258975
rcq-5,0.470100464
F55E10.6,0.470100464
F01F1.1,0.471459215
K12C11.1,0.472175455
tag-192,0.472899927
lex-1,0.473429321
F27C1.11,0.473571124
hdl-1,0.474186369
gei-3,0.476228369
sdc-3,0.476313619
tag-52,0.476649479
dic-1,0.477205562
kel-8,0.4772203
B0412.3,0.477979729
set-9,0.478607173
C38D9.5,0.479552631
math-33,0.479978123
Y32B12B.2,0.48111323
gbf-1,0.482029089
T28F3.5,0.482100476
E01G6.1,0.482617559
F59E12.9,0.483288007
C16C10.3,0.484317717
ego-1,0.484741113
ksr-1,0.485134503
C14B1.7,0.486561269
W02C12.1,0.488803587
F26A10.2,0.488927094
hmr-1,0.489447561
lin-12,0.491051678
gcy-19,0.492632509
W07E11.1,0.494415454
gcy-28,0.494499039
Y69A2AR.19,0.494591898
grd-7,0.495008485
F32A5.2,0.496236794
fnci-1,0.496369933
Y59A8A.3,0.498688173
C27F2.1,0.498969534
xrn-1,0.50207145500000006
Y70G10A.2,0.502339093
C42C1.10,0.502428756
ZK370.4,0.503093284
R02F2.2,0.508810239
sbp-1,0.511067104
nhl-2,0.511882849
F21C10.7,0.512816071
F25B5.2,0.512892645
unc-79,0.512982064
sma-9,0.514188148
Y46G5A.29,0.51514841200000006
dig-1,0.515257687
F25E5.1,0.516571896
C01G5.4,0.517226026
Y45G5AM.2,0.517656301
B0365.7,0.518165684
spc-1,0.518273681
cdh-4,0.519386212
F39B2.8,0.520243945
F21G4.6,0.52059836
tam-1,0.523803237
pcp-4,0.526541246
T19D2.1,0.526544853
tag-312,0.526971406
ceh-100,0.527845887
B0207.5,0.528029587
Y43D4A.5,0.528447628
cpna-2,0.52901846
clec-199,0.529355442
F59A1.15,0.529744037
Y79H2A.3,0.530687372
ZC373.4,0.531592722
unc-16,0.532505194
Y67D8A.2,0.532518454
ZC116.3,0.535079773
aka-1,0.535232539
glit-1,0.53584633
R03G8.3,0.536591488
ZK822.1,0.537688873
npp-1,0.540775599
fbxa-169,0.542488356
lov-1,0.542715783
Y38C9A.1,0.543903381
F22G12.5,0.544037284
smgl-1,0.544480876
gcy-12,0.54580833
nep-2,0.546555164
F47B7.2,0.546865246
T06D8.1,0.54747986
trp-2,0.548571424
F58G11.2,0.5501904
spd-5,0.550489434
Y6B3B.1,0.55117226
T11G6.2,0.552762567
R04B3.3,0.553198267
F41E6.11,0.55386468
W09G3.6,0.554154901
T01E8.5,0.554844506
epac-1,0.556791801
F23H11.4,0.557938588
tag-53,0.558006923
npa-1,0.558117474
lst-3,0.55908157
mrp-4,0.559494444
kin-25,0.561475365
kin-29,0.562243074
blmp-1,0.562872928
pept-3,0.563983577
tra-2,0.564509616
thoc-2,0.565542725
let-711,0.567037758
ajm-1,0.567960265
sax-2,0.568734251
clec-125,0.569555753
pqn-40,0.569793485
Y82E9BR.18,0.57098986
unc-73,0.571130302
chd-3,0.571433164
mtm-5,0.571618258
F47G9.4,0.571618258
Y61A9LA.3,0.572396803
trpa-1,0.572891453
srh-125,0.573392657
C44E4.1,0.573780413
tbc-12,0.574044878
C34E11.2,0.575123311
Y34B4A.4,0.57600888
F07C6.4,0.57600888
cls-1,0.576906273
C49D10.10,0.577130842
K10C2.1,0.579548392
rpm-1,0.579780927
F18A12.6,0.580680746
dpy-28,0.581146335
galt-1,0.58232475
Y108G3AL.7,0.584444548
F09F9.4,0.584555747
F41H10.3,0.584735252
gcy-1,0.587197597
