public_gene_name,p-value
cdh-1,0.90476126
sur-2,0.907892891
abl-1,0.91213753
top-2,0.912510398
pac-1,0.912678733
C53A5.5,0.913529661
Y43F8B.3,0.914624984
rbf-1,0.915996764
mog-5,0.917507709
C46E1.3,0.918026092
Y105C5A.24,0.918026092
H06O01.2,0.919426806
cdh-3,0.925116763
C09G1.2,0.926757656
lam-2,0.926858528
dpy-21,0.929089498
T28B8.3,0.929332026
let-418,0.930037347
tag-80,0.930528621
F38B6.4,0.931203147
C34F6.9,0.932223351
Y102A11A.3,0.932421589
tag-218,0.93410762
Y7A9A.1,0.936084916
rbc-2,0.945090177
F26H9.8,0.947346558
twk-2,0.951082842
cogc-3,0.959398929
C06B8.7,0.969428404
